Word,Len,SHA-512
fish,4,9b99dbf02081b2cd2f31640d32d6a66efa7c684a14b056fb0cec79ad0ae93ad15dc4b37bd343debc791840c5247e3a6c0b17d05234b2a69a49197b535361c24c
lupine,6,0a2e3407ca6533617ea7237295492fe7225c5792579f1413bb46488fd6ed99fb5ea805fd625cd8e2a55ef393e42ef0195103146af035962283ce1b7bae8d01c3
,,
romaine,7,5502a2aa817b0f9f80816b57e759bffaba46790e7f9379e7c84fb8236f46f25ef06ebca9ce529f44e47f24f9665c9d1929b7712edb2f1e4d45221fc9df4c22b0
canard,6,8012eb7101f63a2052000edc5b98ee5cc22ec0aab5709e500e34d04a95ac1f65c9389191e1fae376d2e0c2b2a948746267ccd050a0a95e16c09cdfe1f838e59e
mile,4,e0f0966208fa5896e96005aaa4fad30725e495d4b6b0159956daa8c6e99f501056c857595e0d5f27ca0b023d203a406270f44a51e5781fb3d9d42aed31421630
mariachi,8,0a1de85e486d55fefd22304e650890d3e3da52f4127d1cab306e0dad4bdd0256021d3f2380dc0749157a18eafe87ac8faf5a20da7378b2f82919e6a1e4b4ce58
,,
impulse,7,6d6999c5ec3995b935b931d9b61afee2ac5eb215185cd8b58570aef2021cf3a04e8ff3785327821b3991da0b97f522d9cfc0dd098f4dd0e4b75f15b85481cdfa
Norwegian,9,916c479c9b82f65d3bcc1b7189259933f35a7c444807749a8c6e7552428e6014b388fca549656553b1a68508ae3629de2201d65daeaf1b6acd59874eae1f1012
dahlia,6,a8157b0de9078eae1397dfc7cd416c7fbabe0212d40dc2d6a1430c21378db5a313b7a3e686300f306c03a82663fcca4e24a6dff95e62d8e9bd3ca0af8915fa2c
albumen,7,51985b18dd34902a9b106bcda9435023b26ee8a188b540d6de96a1265bb7dff0782e309f6babd1141f25e9f37c1fba9d9cc32dc80d05023f90e5885b3451148a
distemper,9,8cbab08ba93fbdba4b0223aec874a30f2882c7d705988dd6a2db6f026732d45360307e446fcc980c706741af5476fe12f0d6123368c5ecd55b23ee3a40a599c2
unnerve,7,ffef3ba55566686105590afe0c19843f1567793e2dd5f21f3ba6cefb1bc19018a19697044be3d9039f1dc8d2ad19888cd14063918bc7fa4940635ebf7714b9a0
,,
matrix,6,11a25e88658143a853d280bf77f81ff391347aaba2db54a3aab0149b265276de419880762a473fc496388bcf70566d7cfd0346c34add40652f8f7b669caf9ec0
right triangle,14,faa2654e414383421998672683f712f7b9f8dbf2d33922e9f9a797dfcbcf87a9dbc1d83e9126ff877d90dad0ee545a91662f3a10f8e70761491b381f86dfce4e
talking-to,10,2df759ef45c7fad2ce9d911131853a26c555a97c4655a13d834a3418f437ba47551217e1d37ddd652033ad34e0993112a590be1224608393795afcf64db0f009
spat,4,cba03538c8a65521afd01c649eb599782bdb5a680827ce81aa3eee656bc8d4d4296483d3fdb7c9f36e891c45abebb11146403c06930bcb0fc1d3ed4308793f56
tomorrow,8,877885b8f822b261856a560c156297b90e7e40366c1cbdd85d3c280a2081356ef8ecb161157d1587286e882484121c51614b95140697f923d0ff2de887e919c5
attribute,9,1f269f558924c00d9d37b8a462c97d886905f4445bc98515de323c71048585fac439baf82e447526878297be9b430cbc8756ed004a34abe8668448fb2c16c535
depiction,9,8de31f4a2fedf32954fdad1953bcab50650afbaa813cc3118b8ee1c227cb0b92be8a1983feebc7ee8fb8210a7c422291c96f7f6a39b9b5ebe3383f31f714335d
Norwegian,9,916c479c9b82f65d3bcc1b7189259933f35a7c444807749a8c6e7552428e6014b388fca549656553b1a68508ae3629de2201d65daeaf1b6acd59874eae1f1012
,,
vacation,8,0a30d41e945ff3e18b16e345ee5b267cb00b1b9f649a00f2ae36d61b85a46d4f31f280839523470409b6804c4c16e10e01f3ab3fe73bbaceb643ec64c86c2c9d
Semite,6,c45a2a2838b9a7c1335d290df1615a1a223fea5df55537e4c8845cc9126bd7edad94a739aa18a9172b5d9f68a42d19cdb48e2411603129954199fb0bff6bd8ac
crowd,5,bf6873a17d6177c10d72139e4875b5f9249ae4bca3011ec06807199ddba1206a382bf1fa2dfd0370d5c5f2b0f5b5e40e1aee09da227e7eae191d2911c95576f2
windshield,10,2b6d7bfb6207a93c22b87fc15d3048440458b3e60d4f1608b5f782a5c13ed5b8c8ad391b6146e09aa440a3b6d46d0b208cc2610e0caca6844d2781c23225af23
rueful,6,16f4257027b884325c2d95bb5ee127f4b8c63ae82eb441487615ee6e7e1feea00d579e356670a104118446f6235a969607378b39283ef23c93859b34eecde7f0
tamper,6,454f71ab46d60f3ca2f84414b8cb953a8a8bb6e69728a1f477416ee949ee6bd2eaf53b6fe1dfcd4c8849bd6c291c18f78730d7dc6bb28910a093714f11e699fc
cahoots,7,f0f69e046d9fd7ee488ed8ca31cec798e7f464dd7532c75891a02d1d025716879cf45db0459a6a4de28ff4037e84da9d497bd0a07658264a1957ea92bdc8b33c
periodic,8,c2da25247a7146c0a7033ba3b14a70413aec81e6ef561ba5d0af4fca30f7180019b64d333179956dd9e1f31a87c50235317a00776e73bbd2315e4af9644571f1
verdure,7,c1b9362543b3e6e6f94dde4276449483c2181bea8cdc54ba9fa17de82b5af2f481100714021350fd6360de63a01ef343a69ab8775a491615c451de878ff69833
Hanukkah,8,b2d05cef008f8c5d1f04ffa424e4d803858ce6caa70cc483db3655cc52b84d613a0428b216b49d0806ec499aac628d7c75b54be24156244441548ce4efb6885e
,,
obelisk,7,86b2505f1d6e932e284ac52ab8c173fb56e2d9f1ba42031a2c3b4da10f6e520515a5c11892e0cf7809fb35e7081f4a96b0e20b7df0d7d1103247b571cbeaf53c
wade,4,ba00a29cc1588865e7d0e47f1ea13755de35f081ffae9891219cdbc9c724d9297e31b2b287e6db9215b97755d2b609fb91d9b94196bebbb732e7bca24febd072
caliph,6,1b4a81321cce927c5381d35b4efb39c98602bb49cd9873a8be3127b57fee6d9551b9acd5e72720606f6d937869b6018d743fef072d3c6bcee07acab5641b7c94
poison ivy,10,1b3f6dad9d3a36e0ada0df25dc2cab8b28c8c6d7e097153a02b419526445192183992dc10ddcdf421360c67bb754a334d5670a6569913f9387baeaa358d5b1d5
angora,6,d78eb9a675e30f64d59b3494094a67e024f7b4d8d05f01ba27bd6d5a6fcee840735745acbd289cc054bef8fdd811bbff92fa111cd8aada036803a8b71b89b406
horde,5,cab3b941b12de43bdf6fc78fc58a9da87d8b72c92e2b434486e8a26e997c9102d42a69c36543dfa84bd4f67f86264380c01c2daa6b2d79cc865ede7120b57ba3
trading post,12,6f01ee50755f6b08b0b1f2bf621a173480c839b09494a4ccd7389fc378716f629e63eee3ea11e442d3824dc2de47396c734972c3865d7de3693b28d5eb3dde0a
industrial-strength,19,b955c514a872777ff2eac0dbfe892f9ff3b00c102216d30357fde2d950b24f81f946512dd43c6887488f37f3c94a0113373c8f9c474acff5144b3ab3c71feb76
ownership,9,c36f8bdb00ae3d82441837db40961d9da272a492f3fe8594b5f6dc5781fc145982e3cd1e4ccb2693c2d52e60bed10f0d645f2c67788575e74b1cfafb9b4afd77
outhouse,8,d9fbfe6d6f00b61f6e39d1a043815e055413ce1f55b042cf971c364d4626c3907dce9309c4b9c50d405385f58eaa8d0cf7fdf847289fafb6bfc9eae327a9a6e9
head,4,10c46c8a0c2151181bc9c147e18cc3da56048566309d4a24ed15e9b7f8cce7b52551b5ed3e421ddd101196309552c43684fe20c7c4eae047bf0cffffaa712163
sphinx,6,773b04452b34dac08b20339f61e7f50bd4f095b52042d13e6893114cd98f09b667c0f2d94014584e3b7ad7b67539e7b306495e93191c33d45f68ec8fc44fb0bd
,,
chairwoman,10,8ea6dd9a1e8642638c2296cd4aed859077e298ea6f58be3e31ce6dd7f8650786a3c674be4416e92963baac663bd60e6dd0bafe0c3400899e984d97d2821bb3d2
evening,7,27d7cbd977cb2a5dba127c564eb687180a24fdb417bba2e2de6dba048456b535a85317b4ad75ca2a3ae1bf7109b36af76d6114d477b66e11ae4fe92e98d02598
lawful,6,1768a94b5e33cf20e28c86cbb9cd6e69e22c281a7fbbd50322c82eb1a2fe128d67058bc8226e2c588b12815aa2e1b9b8ae523e6c7baa74b4aa620ac06c6b9f93
hankie,6,9a7f015e10cac2613851cd23532b6cd3c7c39c0c51c8959756a8eaffdf426316e553611a72643a2acc70df65d48bc779b8c95fe56489c34f3c39ebf2922a309b
cohort,6,e45a31db639f67d804386218ff74b542065ec281cc8938053fed193fba6da2cc8e368db45a2925ea2931331a9b885933f18c8e047ffd7b2c4a754c1ae4ebc0be
polygraph,9,a10508f3ededbc86fd2ee63114dd27d27b3c1e137658d6f7ec3f2005e60a406c262a89eb3efc74c2044afb4359076550867f57a1b0ea250925a74ef3434b09a5
expensive,9,e3740bea4ee36028d18ef9fac742096ce387389c66bc8015bc17bac681c7197c1eed07ee6d61d58f010e9b89c2f9e0c730b1ecef19a56655dc3ad4102279a6d1
azimuth,7,2ea1e6d4c890c378623fef257f9d8020a195c8aaa65d8865a9d12771ff26d9b9fd21eeb93130886712cbfaa274ddf3e073d2854a61ccde2f3da26ac971a604ee
study,5,6090ff96939b248cc9b7cb537a215f0d43b0a25e9e39cc774c75b8a7dc9c4ca959ec6311412e087b99d17a6ce30b6d8ad56ee4ed3ea9fd49d2f8998bf4f609cd
christen,8,0542ca0aff07a51e0ad03c976d835e92c91cf192d7969ba6bafa760d3d2b598f412b25521f9d6af841532d1aa20feb9f9b12f6702beeac3c9b1c86817c26e5f8
script,6,1c7198e0ce66ad27d983ca91c1fdd6b03c9492841ac98a59769aad50eb30e357c3daeaa4cc72a9c24797f1fd396b20567c4d5d57ddb7c4a1d4b686ac2699ea36
cagey,5,91e0ea4bd313dc0de4d5ef3b5250c9e462a8fd11b0dc1f62f9d0fb035248f747e939cde26edbb1e3a107acab05038e92327e0142e40b7953a123eb4b48d93df7
HR,2,a552375797843ba7b58f072c12ec96d6b846e48a452b0bc790ff87adfa1b3d6d15487b922f9e7971c85f4e2ddb7f406c5252c06676e9290fff9a02c04056fa8a
yew,3,61f000aa58fe58b0dd9654cc3cdf89c96f1d3e29a49621ce2edba862152b71b55943fa1c512922257ff871126249173762f1b809371aad455b80b3eb70612fbc
